QUOTE_DATE,EXPIRE_DATE,STRIKE,UNDERLYING_LAST,DTE,BID,ASK,MID,option_type,spread,rel_spread,moneyness,T,dte_bucket,contract_id
2025-12-26,2026-01-16,6640.0,6929.94,21,311.5,313.0,312.25,call,1.5,0.004803843074459567,0.9581612539213904,0.057534246575342465,2w_1m,2025-12-26|2026-01-16|call|6640.0
2025-12-26,2026-01-16,6645.0,6929.94,21,306.8,308.2,307.5,call,1.3999999999999773,0.004552845528455211,0.9588827608897047,0.057534246575342465,2w_1m,2025-12-26|2026-01-16|call|6645.0
2025-12-26,2026-01-16,6655.0,6929.94,21,297.3,299.0,298.15,call,1.6999999999999886,0.005701827938956863,0.9603257748263333,0.057534246575342465,2w_1m,2025-12-26|2026-01-16|call|6655.0
2025-12-26,2026-01-16,6665.0,6929.94,21,288.1,289.5,288.8,call,1.3999999999999773,0.004847645429362802,0.9617687887629619,0.057534246575342465,2w_1m,2025-12-26|2026-01-16|call|6665.0
2025-12-26,2026-01-16,6675.0,6929.94,21,278.8,280.3,279.55,call,1.5,0.0053657664103022714,0.9632118026995905,0.057534246575342465,2w_1m,2025-12-26|2026-01-16|call|6675.0
2025-12-26,2026-01-16,6680.0,6929.94,21,274.1,275.7,274.9,call,1.599999999999966,0.005820298290287253,0.9639333096679048,0.057534246575342465,2w_1m,2025-12-26|2026-01-16|call|6680.0
2025-12-26,2026-01-16,6685.0,6929.94,21,269.5,271.0,270.25,call,1.5,0.005550416281221091,0.9646548166362191,0.057534246575342465,2w_1m,2025-12-26|2026-01-16|call|6685.0
2025-12-26,2026-01-16,6695.0,6929.94,21,260.3,261.8,261.05,call,1.5,0.005746025665581306,0.9660978305728477,0.057534246575342465,2w_1m,2025-12-26|2026-01-16|call|6695.0
2025-12-26,2026-01-16,6705.0,6929.94,21,251.3,252.6,251.95,call,1.299999999999983,0.005159753919428391,0.9675408445094763,0.057534246575342465,2w_1m,2025-12-26|2026-01-16|call|6705.0
2025-12-26,2026-01-16,6710.0,6929.94,21,246.6,248.1,247.35,call,1.5,0.006064281382656155,0.9682623514777906,0.057534246575342465,2w_1m,2025-12-26|2026-01-16|call|6710.0
